"id_leitor";"nome";"cpf";"telefone";"dataNascimento";"idade";"enderecoRua";"num";"bairro";"cidade";"estado";"cep"
1;"Dr. João Gabriel Aragão";"850.123.694-24";"(081) 1124 2855";"1968-09-22";39;"Campo de Monteiro";"6403";"Estrela";"Silva do Amparo";"SP";"48968-073"
2;"Matheus Gonçalves";"408.175.263-07";"11 9402-9680";"1974-05-04";47;"Colônia Marcela da Luz";"4824";"Parque São José";"Almeida";"SE";"32861246"
3;"Luiz Miguel Campos";"921.576.308-21";"(071) 7641 6608";"1972-01-02";25;"Trecho de Santos";"6867";"Custodinha";"Rocha do Norte";"RR";"51722876"
4;"Gabriela Moura";"458.392.017-23";"+55 21 8720-6301";"2002-01-28";21;"Vila Kevin Mendes";"6611";"Marmiteiros";"da Mota do Galho";"RJ";"92971861"
5;"Vicente Castro";"418.629.530-15";"(031) 6230-9293";"1980-09-05";67;"Rodovia Lucas Gabriel Fernandes";"4980";"Conjunto Novo Dom Bosco";"Nascimento";"CE";"47973-130"
6;"Kevin da Mota";"027.431.896-22";"51 1742 1398";"1983-02-07";48;"Trevo Rafael Gomes";"909";"Vila Jardim Montanhes";"da Luz da Praia";"TO";"66629-358"
7;"Emanuelly das Neves";"680.395.721-77";"+55 (011) 4338-1810";"1963-04-13";32;"Vila Nogueira";"1709";"Santa Efigênia";"Dias";"MT";"08735451"
8;"João Alves";"205.679.438-10";"+55 (041) 2315 2687";"1963-04-11";48;"Estrada Alves";"5783";"Araguaia";"Rezende de Moura";"SE";"93907-112"
9;"Maria Fernanda Costa";"586.039.127-77";"+55 81 9838 3802";"1997-06-10";39;"Loteamento de da Rocha";"672";"Vista Do Sol";"Cunha do Campo";"RN";"55230-970"
10;"Srta. Maria Sophia Martins";"915.368.740-00";"+55 (051) 8360 7139";"1982-09-21";52;"Quadra Rezende";"6277";"Ipe";"Moura Paulista";"PR";"62171-565"
